0 0.00320513 0.116987 -0.0279146 0.0833333 -0.0436508 0.0355519 -0.301581
100 0.0785256 0.161859 0.280788 0.599359 0.0714286 0.467962 -8.5475
200 0.0384615 0.161859 0.403941 0.679487 0.0218254 0.550641 -11.7669
300 0.177885 0.423077 0.544335 0.578526 0.00793651 0.484911 -13.2593
400 0.31891 0.322115 0.650246 0.599359 0.0218254 0.385283 -13.9975
500 0.235577 0.365385 0.719212 0.676282 -0.0833333 0.370401 -16.0963
600 0.261218 0.259615 0.598522 0.581731 0.0634921 0.458454 -12.8621
700 0.241987 0.238782 0.581281 0.642628 -0.0714286 0.482844 -13.583
800 0.237179 0.24359 0.602627 0.637821 -0.0555556 0.584539 -15.1067
900 0.177885 0.262821 0.503284 0.61859 0.00793651 0.608929 -13.603
1000 0.213141 0.147436 0.442529 0.653846 -0.0753968 0.627945 -13.3854
1100 0.25641 0.264423 0.619869 0.616987 0.0793651 0.601488 -15.5632
1200 0.294872 0.225962 0.57225 0.615385 0.0515873 0.594047 -14.7321
1300 0.214744 0.346154 0.695402 0.575321 0.0515873 0.511368 -15.2814
1400 0.099359 0.341346 0.509852 0.580128 -0.162698 0.533692 -12.6555
1500 0.0560897 0.384615 0.455665 0.616987 0.128968 0.684167 -14.9943
1600 0.0608974 0.379808 0.393268 0.501603 0.212302 0.623811 -12.0313
1700 0.142628 0.418269 0.440887 0.543269 0.0416667 0.548574 -12.1455
1800 0.0384615 0.402244 0.403941 0.679487 0.121032 0.63332 -14.7861
1900 0.116987 0.323718 0.561576 0.597756 -0.0555556 0.584539 -13.9429
2000 0.253205 0.347756 0.524631 0.653846 0.0238095 0.503927 -14.0743
2100 0.139423 0.301282 0.550903 0.740385 0.0853175 0.575031 -15.9858
2200 0.139423 0.261218 0.550903 0.740385 0.0853175 0.61637 -16.3003
2300 0.115385 0.165064 0.472906 0.716346 -0.0337302 0.659777 -14.9107
2400 0.253205 0.227564 0.606732 0.69391 0.0734127 0.586606 -16.1557
2500 0.25641 0.184295 0.578818 0.657051 0.0297619 0.642828 -15.7198
2600 0.0592949 0.221154 0.3867 0.700321 -0.0634921 0.699049 -14.5475
2700 0.25641 0.144231 0.619869 0.697115 0.0297619 0.560149 -15.629
2800 0.174679 0.0657051 0.531199 0.775641 0.00198413 0.635387 -16.2627
2900 0.137821 0.0625 0.462233 0.778846 -0.0416667 0.608929 -14.9608
3000 0.115385 0.125 0.472906 0.836538 -0.0833333 0.659777 -17.1536
3100 0.155449 0.165064 0.472906 0.876603 -0.0337302 0.577098 -16.9952
3200 0.237179 0.24359 0.561576 0.758013 0.0436508 0.5432 -16.0426
3300 0.200321 0.280449 0.492611 0.68109 8.81129e-17 0.599421 -14.5731
3400 0.237179 0.24359 0.520525 0.677885 0.0436508 0.460521 -13.0619
3500 0.235577 0.245192 0.555008 0.676282 -0.0833333 0.535759 -14.4443
3600 0.238782 0.322115 0.527094 0.639423 0.0218254 0.550641 -14.1651
